time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,station,latitude,longitude,elevation
2024-01-01,25.5,24.0,28.1,14.8,,76.0,6.5,,1012.3,,81752,-3.0697,-41.7833,57.0
2024-01-01,25.2,22.2,30.5,11.4,,19.0,1.8,,1012.4,,81754,-3.7481,-40.3456,64.0
2024-01-01,26.3,23.7,30.2,28.1,,95.0,5.8,,1012.5,,81755,-3.1208,-40.0869,76.0
2024-01-01,26.2,23.6,28.2,15.6,,6.0,2.0,,1013.0,,81758,-3.8,-38.5333,41.0
2024-01-01,25.1,22.5,28.6,5.5,,70.0,2.7,,1013.2,,81774,-6.8356,-38.3114,234.0
2024-01-01,27.7,25.1,31.1,1.2,,321.0,1.2,,1010.7,,81778,-4.2764,-55.9931,13.0
2024-01-01,26.2,23.4,29.6,10.7,,13.0,8.8,,1011.8,,81784,-4.2567,-49.9272,113.0
2024-01-01,26.0,23.2,31.0,5.8,,322.0,4.1,,1010.1,,81786,-4.7844,-48.0711,221.0
2024-01-01,27.5,23.6,33.0,8.0,,18.0,4.6,,1011.9,,81792,-4.8214,-43.3436,76.0
2024-01-01,25.5,22.7,32.7,8.0,,355.0,6.4,,1012.4,,81794,-4.2761,-41.7936,161.0
2024-01-01,20.1,18.9,22.1,17.8,,60.0,7.0,,1013.9,,81797,-4.2611,-38.9308,870.0
2024-01-01,25.1,23.0,26.7,15.3,,82.0,6.4,,1009.6,,81798,-4.7869,-37.7769,12.0
2024-01-01,27.1,24.0,30.8,4.5,,9.0,8.6,,1011.6,,81820,-5.1672,-49.3792,116.0
2024-01-01,26.3,23.3,30.6,14.3,,26.0,6.2,,1011.8,,81821,-5.6436,-48.1117,117.0
2024-01-01,27.1,24.5,33.1,14.6,,0.0,0.0,,1011.6,,81822,-5.5556,-47.4597,126.0
2024-01-01,25.4,22.9,29.0,6.9,,8.0,6.3,,1012.2,,81825,-5.5067,-45.2369,153.0
2024-01-01,27.9,23.7,33.2,10.6,,3.0,3.4,,1012.1,,81827,-5.0347,-42.8011,74.0
2024-01-01,25.6,22.5,31.2,5.8,,35.0,4.5,,1012.8,,81829,-5.3486,-41.5119,286.0
2024-01-01,25.5,21.7,31.1,7.9,,19.0,5.5,,1013.2,,81830,-5.1861,-40.6717,291.0
2024-01-01,25.9,23.2,30.2,7.5,,41.0,9.0,,1012.7,,81831,-5.1742,-39.2872,218.0
2024-01-01,25.8,23.2,28.5,21.6,,65.0,7.4,,1012.5,,81832,-5.1364,-38.3564,44.0
2024-01-01,26.4,23.5,31.1,21.3,,8.0,5.0,,1012.0,,81833,-5.9053,-38.6278,184.0
2024-01-01,24.9,22.5,27.6,18.6,,101.0,4.5,,1013.3,,81834,-5.0817,-37.3686,36.0
2024-01-01,24.3,22.6,26.5,24.2,,23.0,5.5,,1013.2,,81835,-5.6272,-37.8319,150.0
2024-01-01,26.5,24.2,28.9,3.2,,62.0,10.2,,1012.4,,81838,-5.16,-35.4875,17.0
2024-01-01,26.6,24.6,30.0,3.1,,41.0,9.9,,1012.4,,81839,-5.8333,-35.2,65.0
2024-01-01,25.8,21.8,30.6,10.7,,1.0,5.5,,1011.8,,81846,-8.4431,-43.8647,270.0
2024-01-01,25.5,22.5,33.1,10.1,,0.0,5.3,,1011.8,,81847,-8.1178,-42.9756,308.0
2024-01-01,27.5,23.6,33.7,14.0,,359.0,4.8,,1011.7,,81848,-8.3647,-42.2508,235.0
